epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,1011.87,1.19705,0.94829,1.41141,0.65471,0.64943,0.76195,0.44103,1.38272,1.17946,1.71345,0.000305949,0.000305949,0.000305949
129,1019.8,1.16498,0.91386,1.38506,0.65475,0.60265,0.73293,0.4292,1.36343,1.16399,1.67733,0.000302736,0.000302736,0.000302736
130,1027.74,1.17177,0.93452,1.39386,0.74112,0.55838,0.72117,0.42573,1.2978,1.27848,1.70353,0.000299523,0.000299523,0.000299523
131,1035.77,1.17274,0.9253,1.39199,0.69611,0.7571,0.80475,0.42222,1.49386,1.0484,1.83127,0.00029631,0.00029631,0.00029631
132,1043.81,1.15471,0.90758,1.37658,0.86732,0.70272,0.79138,0.46791,1.31303,1.199,1.66672,0.000293097,0.000293097,0.000293097
133,1051.77,1.17517,0.94217,1.40318,0.58841,0.73505,0.75304,0.44926,1.32305,1.29041,1.65617,0.000289884,0.000289884,0.000289884
134,1059.92,1.15468,0.93452,1.38035,0.52688,0.66605,0.7123,0.42385,1.30595,1.46256,1.62655,0.000286671,0.000286671,0.000286671
135,1068.04,1.15183,0.91246,1.37944,0.79974,0.51637,0.67645,0.39729,1.3282,1.30108,1.65326,0.000283458,0.000283458,0.000283458
136,1076.05,1.13879,0.89296,1.37159,0.65013,0.74187,0.7589,0.45482,1.24838,1.16352,1.60277,0.000280245,0.000280245,0.000280245
137,1084.11,1.15586,0.89444,1.36654,0.89112,0.69318,0.81683,0.46128,1.31441,0.96501,1.65751,0.000277032,0.000277032,0.000277032
138,1092.19,1.15834,0.94629,1.39823,0.67453,0.68443,0.75908,0.46912,1.28045,1.17814,1.69692,0.000273819,0.000273819,0.000273819
139,1100.39,1.13798,0.89965,1.37872,0.81244,0.60246,0.75422,0.47627,1.27343,1.13593,1.65989,0.000270606,0.000270606,0.000270606
140,1108.46,1.13279,0.88988,1.3603,0.57715,0.73589,0.72411,0.44951,1.22595,1.18729,1.60376,0.000267393,0.000267393,0.000267393
141,1116.41,1.15101,0.90052,1.38731,0.57361,0.79683,0.7735,0.45503,1.43023,1.07233,1.76571,0.00026418,0.00026418,0.00026418
142,1124.31,1.10906,0.87073,1.35489,0.68803,0.72572,0.79115,0.4681,1.27196,1.06224,1.62967,0.000260967,0.000260967,0.000260967
143,1132.22,1.15238,0.90106,1.37925,0.5618,0.78884,0.77738,0.42783,1.27054,1.09796,1.642,0.000257754,0.000257754,0.000257754
144,1140.3,1.1406,0.91078,1.37874,0.60239,0.69948,0.74344,0.42308,1.34919,1.16761,1.6824,0.000254541,0.000254541,0.000254541
145,1148.26,1.1304,0.88335,1.36801,0.7714,0.65046,0.75001,0.42331,1.29839,1.26883,1.66476,0.000251328,0.000251328,0.000251328
146,1156.26,1.14338,0.895,1.36577,0.62397,0.66644,0.73952,0.46015,1.29187,1.25152,1.62893,0.000248115,0.000248115,0.000248115
